"","response","age","whitecollar","bluecollar","other_job","divorced","married","single","primary","secondary","tertiary","unknown_edu"
"57","No",57,1,0,0,0,1,0,0,1,0,0
"58","No",33,1,0,0,0,0,1,0,0,1,0
"59","No",36,0,0,1,0,0,1,0,1,0,0
"60","No",54,0,1,0,1,0,0,0,1,0,0
"61","No",41,0,1,0,0,1,0,1,0,0,0
"62","No",63,0,0,1,0,1,0,0,1,0,0
"63","No",48,1,0,0,0,1,0,0,0,1,0
"64","No",48,0,1,0,0,1,0,0,1,0,0
"65","No",56,1,0,0,0,1,0,0,1,0,0
"67","No",31,0,1,0,0,1,0,0,1,0,0
"68","No",29,0,1,0,0,1,0,0,1,0,0
"69","No",41,1,0,0,0,1,0,0,1,0,0
"70","No",32,0,1,0,0,0,1,0,0,1,0
"72","No",42,1,0,0,1,0,0,0,0,1,0
"73","No",31,1,0,0,0,0,1,0,0,1,0
"74","No",41,0,1,0,0,1,0,0,0,1,0
"75","No",56,0,0,1,0,1,0,0,1,0,0
"76","No",54,1,0,0,1,0,0,0,0,1,0
"78","No",40,0,1,0,0,0,1,0,1,0,0
"79","No",50,0,1,0,1,0,0,1,0,0,0
"81","Yes",27,1,0,0,1,0,0,0,1,0,0
"82","No",60,0,0,1,0,1,0,1,0,0,0
"83","No",28,1,0,0,0,0,1,0,1,0,0
"85","Yes",37,1,0,0,0,1,0,0,0,1,0
"86","No",51,0,1,0,0,1,0,1,0,0,0
"87","No",41,0,1,0,0,0,1,0,1,0,0
"88","No",35,0,1,0,0,0,1,1,0,0,0
"89","No",38,1,0,0,0,1,0,0,1,0,0
"90","No",34,0,1,0,0,1,0,0,1,0,0
"91","No",39,0,1,0,0,1,0,1,0,0,0
"92","No",34,0,1,0,0,1,0,1,0,0,0
"93","Yes",27,0,1,0,0,0,1,0,1,0,0
"94","No",32,1,0,0,0,0,1,0,0,1,0
"95","No",57,0,1,0,0,1,0,0,1,0,0
"96","No",41,0,0,1,0,0,1,0,0,1,0
"97","No",41,1,0,0,0,1,0,0,0,1,0
"100","Yes",31,0,0,1,0,0,1,1,0,0,0
"101","No",36,0,1,0,0,1,0,0,1,0,0
"103","No",49,0,1,0,0,1,0,0,1,0,0
"104","No",57,0,1,0,0,0,1,1,0,0,0
"105","No",34,1,0,0,0,0,1,0,1,0,0
"107","No",37,0,1,0,0,1,0,0,1,0,0
"108","No",33,1,0,0,0,1,0,0,0,1,0
"109","Yes",56,0,0,1,0,1,0,1,0,0,0
"110","No",27,0,0,1,0,1,0,1,0,0,0
"112","No",58,1,0,0,0,1,0,0,0,1,0
"113","No",32,1,0,0,0,1,0,0,1,0,0
"115","Yes",25,0,0,1,0,0,1,0,1,0,0
"116","Yes",25,0,1,0,0,0,1,0,1,0,0
"117","No",30,0,1,0,0,1,0,0,1,0,0
"118","No",22,1,0,0,0,0,1,0,1,0,0
"119","No",39,0,1,0,0,1,0,1,0,0,0
"120","No",46,1,0,0,1,0,0,0,0,1,0
"121","No",31,1,0,0,1,0,0,0,1,0,0
"122","No",45,0,1,0,0,1,0,1,0,0,0
"123","No",32,0,1,0,0,1,0,0,1,0,0
"124","No",36,0,1,0,0,1,0,0,1,0,0
"126","Yes",34,1,0,0,0,0,1,0,0,1,0
"127","No",24,0,0,1,0,0,1,0,1,0,0
"128","No",45,0,1,0,0,0,1,0,1,0,0
"130","Yes",77,0,0,1,1,0,0,0,0,1,0
"131","No",41,0,1,0,0,1,0,1,0,0,0
"132","No",37,0,1,0,0,1,0,1,0,0,0
"133","No",43,0,1,0,0,1,0,0,0,0,1
"135","No",27,0,1,0,0,0,1,0,1,0,0
"136","No",33,1,0,0,0,0,1,0,0,1,0
"138","No",34,1,0,0,0,0,1,0,0,1,0
"139","Yes",52,1,0,0,0,1,0,0,0,1,0
"140","No",60,1,0,0,0,1,0,0,0,0,1
"141","No",32,1,0,0,1,0,0,0,0,1,0
"142","No",32,1,0,0,0,0,1,0,0,1,0
"143","No",56,0,1,0,1,0,0,0,0,0,1
"144","No",31,1,0,0,0,0,1,0,0,1,0
"145","No",42,1,0,0,0,1,0,0,1,0,0
"146","No",35,1,0,0,0,1,0,0,0,1,0
"147","No",56,0,0,1,0,1,0,1,0,0,0
"148","No",48,0,1,0,0,1,0,0,1,0,0
"150","No",37,0,1,0,0,0,1,0,0,0,1
"151","No",41,1,0,0,0,1,0,0,0,0,1
"152","No",36,1,0,0,0,0,1,0,0,1,0
"153","No",45,0,0,1,1,0,0,1,0,0,0
"154","No",55,1,0,0,0,1,0,0,1,0,0
"155","No",39,0,1,0,0,1,0,0,1,0,0
"156","No",35,0,1,0,1,0,0,0,1,0,0
"159","No",27,1,0,0,0,0,1,0,1,0,0
"160","No",34,0,1,0,0,1,0,0,1,0,0
"161","No",34,0,1,0,0,1,0,0,0,1,0
"162","No",25,1,0,0,0,0,1,0,1,0,0
"163","No",41,1,0,0,0,0,1,0,1,0,0
"164","No",43,0,1,0,0,1,0,0,1,0,0
"166","No",31,1,0,0,0,0,1,0,1,0,0
"167","No",78,0,0,1,0,1,0,0,1,0,0
"168","No",45,0,1,0,1,0,0,0,1,0,0
"169","No",48,0,1,0,0,1,0,0,0,1,0
"170","No",32,0,1,0,0,0,1,0,1,0,0
"171","No",42,0,1,0,0,1,0,0,1,0,0
"172","No",37,1,0,0,0,0,1,0,0,1,0
"174","No",32,1,0,0,0,1,0,0,1,0,0
"175","No",42,1,0,0,0,1,0,0,0,1,0
"176","No",43,1,0,0,0,1,0,0,1,0,0
"177","No",44,1,0,0,0,1,0,0,1,0,0
"179","No",37,0,0,1,0,1,0,0,0,0,1
"181","No",28,0,1,0,0,0,1,0,0,1,0
"182","No",32,0,1,0,0,0,1,0,1,0,0
"183","No",34,1,0,0,0,0,1,0,1,0,0
"184","No",40,1,0,0,1,0,0,0,1,0,0
"185","No",34,0,1,0,0,1,0,0,1,0,0
"186","No",34,1,0,0,0,1,0,0,0,1,0
"190","Yes",56,0,0,1,0,1,0,0,1,0,0
"191","No",49,0,1,0,0,1,0,1,0,0,0
"192","No",33,1,0,0,0,1,0,0,1,0,0
"193","No",30,1,0,0,0,0,1,0,0,1,0
"194","No",36,0,1,0,0,1,0,0,1,0,0
"195","No",23,0,0,1,0,0,1,0,1,0,0
"196","No",57,0,0,1,1,0,0,0,1,0,0
"197","No",27,0,1,0,0,0,1,0,1,0,0
"198","No",38,0,1,0,0,1,0,0,1,0,0
"199","No",42,0,1,0,0,1,0,0,0,1,0
"202","No",48,0,1,0,0,1,0,0,1,0,0
"205","Yes",29,0,1,0,0,0,1,0,0,1,0
"206","No",45,0,1,0,0,0,1,0,0,1,0
"207","No",42,0,1,0,0,1,0,0,1,0,0
"210","No",56,0,0,1,0,1,0,0,1,0,0
"211","No",36,0,1,0,0,0,1,0,1,0,0
"212","No",25,0,1,0,0,0,1,0,1,0,0
"214","No",57,1,0,0,0,1,0,0,1,0,0
"215","No",31,1,0,0,0,1,0,0,0,1,0
"216","Yes",42,1,0,0,0,1,0,0,0,1,0
"217","No",45,0,1,0,0,1,0,0,1,0,0
"219","No",49,0,1,0,0,1,0,1,0,0,0
"220","No",49,0,1,0,0,1,0,0,1,0,0
"221","No",53,0,0,1,0,1,0,0,0,1,0
"222","No",37,0,1,0,0,1,0,0,1,0,0
"223","No",49,0,1,0,0,1,0,1,0,0,0
"224","No",41,1,0,0,0,1,0,1,0,0,0
"225","No",54,1,0,0,0,1,0,1,0,0,0
"226","No",32,0,1,0,0,0,1,0,1,0,0
"227","No",33,0,1,0,0,1,0,0,1,0,0
"229","No",36,0,1,0,0,1,0,1,0,0,0
"231","No",52,0,0,1,0,1,0,0,1,0,0
"232","No",40,1,0,0,0,1,0,0,0,1,0
"235","No",30,0,0,1,0,0,1,0,1,0,0
"236","No",48,0,1,0,1,0,0,0,1,0,0
"238","No",57,0,1,0,0,1,0,0,0,0,1
"239","No",57,0,0,1,0,1,0,1,0,0,0
"240","No",51,0,0,1,0,1,0,0,0,1,0
"241","No",34,1,0,0,0,0,1,0,1,0,0
"242","No",50,1,0,0,0,1,0,0,0,1,0
"243","No",44,1,0,0,0,1,0,0,0,1,0
"244","No",27,1,0,0,0,1,0,0,1,0,0
"245","No",50,0,1,0,0,1,0,0,1,0,0
"247","No",42,1,0,0,0,1,0,0,1,0,0
"248","No",32,0,0,1,0,0,1,0,1,0,0
"249","No",42,1,0,0,0,1,0,0,0,1,0
"251","No",31,1,0,0,0,1,0,0,0,1,0
"252","No",32,1,0,0,0,1,0,0,0,1,0
"253","No",55,0,1,0,1,0,0,1,0,0,0
"255","No",46,0,1,0,0,1,0,1,0,0,0
"256","No",55,0,1,0,0,1,0,0,1,0,0
"257","No",34,1,0,0,0,1,0,0,0,1,0
"258","No",28,0,0,1,0,0,1,0,1,0,0
"259","No",42,0,1,0,1,0,0,0,0,1,0
"260","Yes",29,0,1,0,0,0,1,0,1,0,0
"261","No",54,0,0,1,0,1,0,0,1,0,0
"262","No",32,0,1,0,0,0,1,0,1,0,0
"263","No",39,0,1,0,0,0,1,0,0,1,0
"264","No",53,1,0,0,0,1,0,0,0,1,0
"266","No",40,1,0,0,0,1,0,0,1,0,0
"267","No",29,0,0,1,0,0,1,0,1,0,0
"268","No",33,0,1,0,0,1,0,0,0,1,0
"269","No",38,1,0,0,0,0,1,0,1,0,0
"270","No",56,0,1,0,1,0,0,0,1,0,0
"272","Yes",24,0,1,0,0,0,1,0,1,0,0
"273","No",46,1,0,0,0,1,0,0,1,0,0
"274","No",35,1,0,0,0,1,0,0,1,0,0
"275","No",35,0,1,0,0,0,1,0,0,1,0
"276","No",34,0,1,0,0,1,0,0,1,0,0
"278","No",38,0,1,0,0,0,1,0,0,1,0
"279","No",50,0,1,0,0,1,0,1,0,0,0
"280","No",51,0,1,0,1,0,0,1,0,0,0
"281","No",59,1,0,0,0,1,0,0,0,1,0
"282","No",32,0,1,0,0,1,0,0,1,0,0
"283","No",37,0,1,0,0,0,1,0,1,0,0
"284","No",42,1,0,0,1,0,0,0,1,0,0
"285","No",40,0,0,1,0,1,0,0,1,0,0
"286","No",28,0,1,0,0,0,1,0,0,1,0
"287","No",47,1,0,0,0,1,0,0,1,0,0
"288","No",27,1,0,0,0,1,0,0,1,0,0
"289","No",41,1,0,0,0,1,0,0,0,1,0
"291","Yes",50,0,1,0,0,1,0,1,0,0,0
"292","No",47,0,1,0,0,1,0,0,1,0,0
"293","No",53,0,1,0,0,1,0,0,1,0,0
"294","No",53,0,1,0,1,0,0,0,1,0,0
"295","No",47,1,0,0,0,1,0,0,0,1,0
"296","Yes",49,1,0,0,1,0,0,0,0,0,1
"297","No",29,1,0,0,0,1,0,0,0,1,0
"298","Yes",45,0,1,0,1,0,0,1,0,0,0
"299","Yes",38,1,0,0,0,1,0,0,1,0,0
"300","Yes",32,0,1,0,0,1,0,0,1,0,0
"301","No",70,0,0,1,1,0,0,1,0,0,0
"303","No",56,0,1,0,0,1,0,0,1,0,0
"304","No",35,0,1,0,0,1,0,0,1,0,0
"305","No",56,1,0,0,0,1,0,0,0,0,1
"306","No",56,0,1,0,0,1,0,0,1,0,0
"307","Yes",49,1,0,0,0,1,0,0,1,0,0
"308","No",38,0,0,1,0,1,0,1,0,0,0
"309","No",35,1,0,0,0,1,0,0,0,1,0
"310","No",38,1,0,0,0,1,0,0,0,1,0
"312","No",55,1,0,0,0,1,0,0,0,0,1
"313","No",43,0,1,0,0,0,1,1,0,0,0
"314","No",43,1,0,0,0,1,0,0,0,1,0
"316","No",30,0,1,0,0,1,0,1,0,0,0
"317","No",46,0,1,0,0,1,0,0,1,0,0
"318","No",50,1,0,0,0,1,0,1,0,0,0
"320","No",26,0,0,1,0,0,1,0,1,0,0
"321","No",45,1,0,0,0,1,0,0,0,0,1
"322","No",37,0,1,0,0,1,0,0,1,0,0
"323","No",60,1,0,0,0,0,1,0,0,1,0
"325","No",47,0,1,0,0,1,0,1,0,0,0
"327","No",51,0,0,1,0,1,0,0,1,0,0
"328","Yes",35,1,0,0,0,0,1,0,0,1,0
"330","No",48,1,0,0,0,0,1,0,1,0,0
"331","No",37,1,0,0,0,1,0,0,1,0,0
"333","No",34,1,0,0,0,1,0,0,1,0,0
"334","Yes",32,0,1,0,0,1,0,1,0,0,0
"335","Yes",30,1,0,0,0,0,1,0,0,1,0
"336","No",47,1,0,0,1,0,0,0,0,1,0
"337","No",33,0,1,0,0,1,0,1,0,0,0
"340","No",51,1,0,0,1,0,0,1,0,0,0
"342","No",56,0,0,1,0,1,0,0,0,1,0
"343","No",60,1,0,0,0,0,1,0,0,1,0
"344","No",41,1,0,0,0,0,1,0,0,1,0
"345","No",37,1,0,0,0,0,1,0,0,0,1
"347","No",57,1,0,0,0,1,0,0,0,1,0
"349","No",44,1,0,0,0,1,0,0,1,0,0
"351","No",31,0,1,0,0,1,0,0,1,0,0
"352","No",35,1,0,0,0,1,0,0,0,1,0
"353","No",39,1,0,0,0,1,0,0,0,1,0
"356","No",30,0,1,0,0,0,1,0,1,0,0
"357","No",46,0,1,0,0,1,0,0,1,0,0
"358","No",27,1,0,0,0,0,1,0,0,0,1
"359","Yes",48,1,0,0,1,0,0,0,1,0,0
"360","No",26,0,0,1,0,0,1,0,1,0,0
"361","No",36,1,0,0,0,0,1,0,0,1,0
"362","No",42,0,1,0,0,1,0,1,0,0,0
"363","No",50,0,0,1,0,1,0,1,0,0,0
"364","No",49,0,1,0,0,1,0,0,1,0,0
"365","No",45,1,0,0,0,1,0,0,0,1,0
"366","No",23,0,0,1,0,0,1,0,1,0,0
"367","No",38,0,1,0,0,0,1,0,1,0,0
"369","Yes",60,0,1,0,0,0,1,1,0,0,0
"371","No",58,0,0,1,0,1,0,0,0,1,0
"372","No",60,0,0,1,0,1,0,1,0,0,0
"373","No",38,0,1,0,0,1,0,0,1,0,0
"374","No",51,0,1,0,0,1,0,0,1,0,0
"377","No",40,1,0,0,0,1,0,1,0,0,0
"379","No",53,0,1,0,1,0,0,1,0,0,0
"380","No",27,0,1,0,0,0,1,0,1,0,0
"382","No",39,0,1,0,0,1,0,1,0,0,0
"383","Yes",59,0,0,1,0,1,0,0,0,1,0
"385","No",41,0,1,0,0,1,0,1,0,0,0
"386","No",45,0,1,0,0,1,0,1,0,0,0
"387","No",48,1,0,0,0,1,0,0,0,1,0
"388","No",48,0,1,0,0,1,0,0,1,0,0
"389","No",32,0,1,0,0,1,0,0,1,0,0
"390","No",35,0,1,0,0,1,0,0,1,0,0
"392","No",28,0,1,0,0,0,1,1,0,0,0
"393","No",64,0,0,1,0,1,0,0,0,0,1
"394","No",35,0,1,0,0,1,0,0,1,0,0
"396","No",41,0,1,0,0,1,0,0,1,0,0
"397","No",34,1,0,0,0,1,0,0,1,0,0
"399","No",38,0,1,0,0,1,0,1,0,0,0
"400","No",39,0,1,0,0,1,0,1,0,0,0
"401","No",35,0,1,0,1,0,0,0,0,1,0
"402","Yes",28,0,1,0,0,0,1,0,1,0,0
"403","No",27,0,1,0,0,0,1,0,1,0,0
"404","No",48,0,0,1,0,1,0,1,0,0,0
"405","No",50,0,1,0,0,1,0,0,1,0,0
"406","No",45,1,0,0,0,1,0,0,1,0,0
"407","No",41,0,1,0,0,1,0,0,0,1,0
"408","No",39,0,1,0,0,1,0,0,1,0,0
"411","No",49,1,0,0,0,1,0,0,0,1,0
"412","No",34,0,1,0,0,0,1,0,1,0,0
"414","No",42,1,0,0,0,1,0,0,0,1,0
"415","No",53,0,1,0,0,1,0,0,1,0,0
"416","Yes",49,1,0,0,1,0,0,0,0,1,0
"417","No",31,0,1,0,0,0,1,0,1,0,0
"418","No",45,0,1,0,0,0,1,1,0,0,0
"419","No",39,1,0,0,0,1,0,0,1,0,0
"420","No",46,0,1,0,0,1,0,0,1,0,0
"421","No",42,1,0,0,1,0,0,0,1,0,0
"423","No",26,0,1,0,0,0,1,0,0,1,0
"425","No",36,0,1,0,0,0,1,0,1,0,0
"426","No",29,0,1,0,0,0,1,1,0,0,0
"427","No",36,0,1,0,0,1,0,1,0,0,0
"428","No",26,0,1,0,0,1,0,0,0,1,0
"429","No",32,0,1,0,0,1,0,0,1,0,0
"430","No",40,1,0,0,0,1,0,0,0,1,0
"431","No",53,1,0,0,0,1,0,1,0,0,0
"432","No",29,1,0,0,0,1,0,0,0,1,0
"433","No",34,0,1,0,0,0,1,0,0,1,0
"435","No",56,1,0,0,0,1,0,0,0,1,0
"436","No",55,1,0,0,1,0,0,0,0,1,0
"437","No",31,1,0,0,0,1,0,0,0,1,0
"439","No",36,1,0,0,0,1,0,0,1,0,0
"440","No",44,1,0,0,0,1,0,0,0,1,0
"441","No",37,1,0,0,1,0,0,0,0,1,0
"442","No",30,1,0,0,0,0,1,0,1,0,0
"443","No",42,0,1,0,0,0,1,0,1,0,0
"444","Yes",30,1,0,0,0,1,0,0,0,1,0
"445","No",62,0,0,1,0,1,0,0,1,0,0
"446","No",24,0,1,0,0,1,0,0,1,0,0
"447","No",31,0,1,0,0,1,0,0,1,0,0
"448","No",66,0,0,1,0,1,0,0,0,1,0
"449","No",47,1,0,0,0,1,0,0,1,0,0
"450","No",39,1,0,0,0,1,0,0,0,1,0
"451","Yes",35,0,1,0,0,1,0,0,1,0,0
"452","No",35,1,0,0,1,0,0,0,1,0,0
"453","No",27,0,1,0,0,1,0,0,1,0,0
"454","No",32,0,1,0,0,1,0,0,1,0,0
"455","No",44,1,0,0,0,1,0,0,0,1,0
"456","No",42,0,1,0,0,1,0,0,1,0,0
"457","Yes",34,1,0,0,0,0,1,0,0,1,0
"458","No",25,0,1,0,0,0,1,0,1,0,0
"459","No",40,0,1,0,0,0,1,0,1,0,0
"461","No",55,0,0,1,0,1,0,0,0,1,0
"462","No",50,0,1,0,0,1,0,0,1,0,0
"463","No",45,1,0,0,1,0,0,0,0,1,0
"464","No",35,0,1,0,1,0,0,0,1,0,0
"467","No",34,1,0,0,0,1,0,0,1,0,0
"468","No",39,1,0,0,0,1,0,0,0,1,0
"469","No",40,1,0,0,0,0,1,0,1,0,0
"470","No",36,0,1,0,0,0,1,1,0,0,0
"471","No",40,1,0,0,0,1,0,0,0,1,0
"472","No",55,1,0,0,0,1,0,0,1,0,0
"473","No",38,1,0,0,0,1,0,0,1,0,0
"474","Yes",61,1,0,0,0,1,0,0,1,0,0
"475","No",41,1,0,0,0,1,0,0,0,1,0
"476","No",57,0,1,0,0,1,0,1,0,0,0
"477","No",48,0,1,0,0,1,0,0,1,0,0
"479","No",35,0,1,0,0,1,0,0,1,0,0
"480","No",54,0,1,0,0,1,0,0,1,0,0
"481","No",37,1,0,0,0,0,1,0,0,0,1
"482","No",56,1,0,0,0,0,1,0,1,0,0
"484","No",40,1,0,0,0,1,0,0,0,1,0
"485","No",54,1,0,0,0,1,0,0,0,1,0
"486","No",55,0,0,1,0,1,0,1,0,0,0
"487","No",55,0,1,0,1,0,0,0,1,0,0
"488","No",52,0,1,0,0,1,0,1,0,0,0
"489","No",55,0,1,0,0,0,1,1,0,0,0
"490","No",33,1,0,0,0,1,0,0,0,1,0
"491","No",52,0,1,0,0,1,0,0,0,0,1
"492","No",33,0,1,0,1,0,0,0,1,0,0
"494","Yes",46,1,0,0,0,1,0,0,1,0,0
"495","Yes",44,0,1,0,0,0,1,0,1,0,0
"496","No",48,1,0,0,1,0,0,0,0,1,0
"498","No",34,0,1,0,0,0,1,0,1,0,0
"499","No",38,0,1,0,0,0,1,0,1,0,0
"500","No",42,1,0,0,0,0,1,0,0,1,0
"502","No",58,1,0,0,0,1,0,0,1,0,0
"503","No",31,1,0,0,0,1,0,0,0,1,0
"504","Yes",19,0,0,1,0,0,1,1,0,0,0
"505","No",41,1,0,0,0,1,0,0,0,1,0
"506","No",31,0,0,1,0,1,0,0,1,0,0
"507","No",52,1,0,0,0,0,1,1,0,0,0
"508","No",42,1,0,0,1,0,0,0,0,1,0
"509","No",41,0,1,0,0,0,1,0,1,0,0
"510","Yes",30,0,1,0,0,0,1,0,1,0,0
"512","No",32,1,0,0,0,1,0,0,0,1,0
"514","No",48,1,0,0,1,0,0,0,0,1,0
"515","No",36,1,0,0,0,1,0,0,0,1,0
"517","No",34,0,1,0,0,1,0,0,0,1,0
"518","Yes",36,0,1,0,0,1,0,1,0,0,0
"521","No",54,0,1,0,0,1,0,0,1,0,0
"522","No",50,1,0,0,0,1,0,0,1,0,0
"524","No",47,0,1,0,0,1,0,1,0,0,0
"525","No",45,0,1,0,0,1,0,0,1,0,0
"526","No",57,0,0,1,0,1,0,1,0,0,0
"527","No",27,1,0,0,0,1,0,0,1,0,0
"528","No",49,0,0,1,1,0,0,0,1,0,0
"530","No",40,1,0,0,0,1,0,0,0,1,0
"531","No",32,0,1,0,0,0,1,0,1,0,0
"532","No",58,1,0,0,0,1,0,1,0,0,0
"533","No",34,1,0,0,0,0,1,0,1,0,0
"534","No",46,0,1,0,1,0,0,0,1,0,0
"535","No",29,0,1,0,0,1,0,0,1,0,0
"536","No",52,0,1,0,0,1,0,1,0,0,0
"537","No",45,1,0,0,0,1,0,0,0,1,0
"538","No",26,1,0,0,0,0,1,0,1,0,0
"539","No",40,0,1,0,0,1,0,0,0,1,0
"540","No",41,1,0,0,0,1,0,0,1,0,0
"542","No",27,0,1,0,0,0,1,0,0,0,1
"543","No",27,0,1,0,0,1,0,0,1,0,0
"544","No",48,0,1,0,0,1,0,0,1,0,0
"545","No",49,1,0,0,0,1,0,0,1,0,0
"546","No",35,0,1,0,0,1,0,1,0,0,0
"547","No",47,1,0,0,0,1,0,0,1,0,0
"548","No",54,1,0,0,0,1,0,0,0,1,0
"549","No",39,1,0,0,0,0,1,0,0,1,0
"550","No",28,0,0,1,0,0,1,0,1,0,0
"551","No",54,0,1,0,0,1,0,1,0,0,0
"554","No",42,1,0,0,0,1,0,0,0,1,0
"555","No",43,0,1,0,0,0,1,0,1,0,0
"557","No",55,0,1,0,0,1,0,1,0,0,0
"558","Yes",43,1,0,0,0,0,1,0,0,1,0
"559","Yes",41,0,1,0,0,1,0,0,1,0,0
"560","No",47,0,1,0,1,0,0,0,1,0,0
"561","No",34,0,1,0,0,1,0,0,1,0,0
"562","No",28,0,0,1,0,0,1,0,1,0,0
"563","No",36,0,1,0,0,1,0,0,1,0,0
"565","No",35,0,1,0,0,1,0,0,1,0,0
"567","No",26,1,0,0,0,0,1,0,0,1,0
"568","No",36,1,0,0,1,0,0,0,0,1,0
"569","No",59,0,0,1,0,1,0,1,0,0,0
"570","No",28,0,0,1,0,0,1,0,1,0,0
"571","No",46,1,0,0,0,1,0,0,0,0,1
"572","No",50,1,0,0,0,1,0,0,1,0,0
"574","No",81,0,0,1,0,1,0,0,1,0,0
"575","No",35,0,1,0,1,0,0,0,1,0,0
"576","No",58,0,0,1,0,1,0,0,0,0,1
"577","No",44,0,1,0,0,1,0,0,1,0,0
"578","No",38,1,0,0,0,1,0,0,0,1,0
"581","No",29,1,0,0,0,1,0,0,0,1,0
"582","Yes",28,0,1,0,0,0,1,0,1,0,0
"583","No",31,1,0,0,0,1,0,0,1,0,0
"584","No",33,1,0,0,0,0,1,0,0,1,0
"585","No",52,0,1,0,0,1,0,0,1,0,0
"586","No",43,1,0,0,1,0,0,0,0,1,0
"587","No",32,1,0,0,0,0,1,0,1,0,0
"588","No",36,1,0,0,0,1,0,0,0,1,0
"589","No",41,0,1,0,0,1,0,0,1,0,0
"590","No",43,0,1,0,0,1,0,0,1,0,0
"591","No",45,1,0,0,0,1,0,0,0,1,0
"592","No",39,0,1,0,0,1,0,0,1,0,0
"593","No",41,0,1,0,0,1,0,0,1,0,0
"594","No",31,0,1,0,0,1,0,0,1,0,0
"595","No",37,0,0,1,0,0,1,0,0,1,0
"596","No",28,1,0,0,0,1,0,0,0,0,1
"598","No",37,0,0,1,0,1,0,1,0,0,0
"600","No",43,0,1,0,1,0,0,0,1,0,0
"601","No",58,0,0,1,1,0,0,0,0,1,0
"602","No",52,1,0,0,0,1,0,0,0,1,0
"604","Yes",32,0,1,0,0,0,1,0,1,0,0
"605","No",42,0,1,0,0,1,0,1,0,0,0
"606","No",31,1,0,0,0,1,0,0,1,0,0
"607","No",28,0,1,0,0,1,0,0,1,0,0
"608","No",36,0,1,0,1,0,0,0,0,1,0
"609","No",51,0,0,1,0,0,1,0,0,1,0
"610","No",46,0,1,0,0,1,0,0,0,1,0
"611","No",50,0,1,0,0,0,1,0,1,0,0
"612","No",32,0,1,0,0,1,0,0,1,0,0
"613","No",26,1,0,0,0,0,1,0,0,1,0
"614","Yes",41,1,0,0,0,1,0,0,0,1,0
"616","No",31,0,1,0,0,1,0,0,1,0,0
"617","No",28,1,0,0,0,0,1,0,0,1,0
"618","No",31,1,0,0,0,0,1,0,1,0,0
"619","No",30,0,1,0,0,1,0,0,0,1,0
"621","No",33,0,1,0,0,1,0,1,0,0,0
"622","No",30,0,1,0,0,0,1,0,0,1,0
"623","No",32,0,1,0,0,0,1,0,1,0,0
"625","No",31,1,0,0,0,1,0,0,0,1,0
"626","No",36,0,1,0,0,1,0,0,1,0,0
"627","No",33,1,0,0,0,0,1,0,0,1,0
"628","No",57,0,0,1,0,1,0,0,1,0,0
"629","No",45,0,1,0,0,1,0,0,1,0,0
"631","Yes",30,1,0,0,0,0,1,0,0,1,0
"633","No",52,0,1,0,0,1,0,0,1,0,0
"634","No",83,0,0,1,0,1,0,0,1,0,0
