"","y","age","jobtype","marital","education","default","balance","housing","loan"
"68","No",29,"Blue Collar","Married","Secondary","No",444,"Yes","No"
"69","No",41,"White Collar","Married","Secondary","No",0,"No","Yes"
"70","No",32,"Blue Collar","Single","Tertiary","No",360,"No","No"
"72","No",42,"White Collar","Divorced","Tertiary","Yes",2,"Yes","No"
"73","No",31,"White Collar","Single","Tertiary","No",6248,"Yes","No"
"74","No",41,"Blue Collar","Married","Tertiary","No",412,"Yes","No"
"75","No",56,"Other/Unknown","Married","Secondary","No",344,"Yes","No"
"76","No",54,"White Collar","Divorced","Tertiary","No",3222,"No","No"
"78","No",40,"Blue Collar","Single","Secondary","No",591,"No","Yes"
"79","No",50,"Blue Collar","Divorced","Primary","No",388,"No","No"
"81","Yes",27,"White Collar","Divorced","Secondary","No",451,"Yes","No"
"82","No",60,"Other/Unknown","Married","Primary","No",5,"No","No"
"83","No",28,"White Collar","Single","Secondary","No",177,"Yes","Yes"
"85","Yes",37,"White Collar","Married","Tertiary","No",1315,"No","No"
"86","No",51,"Blue Collar","Married","Primary","No",1466,"Yes","No"
"87","No",41,"Blue Collar","Single","Secondary","No",879,"No","Yes"
"88","No",35,"Blue Collar","Single","Primary","No",293,"Yes","No"
"89","No",38,"White Collar","Married","Secondary","No",424,"Yes","No"
"90","No",34,"Blue Collar","Married","Secondary","No",1831,"Yes","No"
"91","No",39,"Blue Collar","Married","Primary","No",111,"No","No"
"92","No",34,"Blue Collar","Married","Primary","No",455,"Yes","No"
"93","Yes",27,"Blue Collar","Single","Secondary","No",-195,"Yes","No"
"94","No",32,"White Collar","Single","Tertiary","No",3616,"No","No"
"95","No",57,"Blue Collar","Married","Secondary","No",14093,"No","No"
"96","No",41,"Other/Unknown","Single","Tertiary","No",1567,"No","No"
"97","No",41,"White Collar","Married","Tertiary","No",5426,"Yes","No"
"100","Yes",31,"Other/Unknown","Single","Primary","No",406,"No","No"
"101","No",36,"Blue Collar","Married","Secondary","No",0,"Yes","No"
"103","No",49,"Blue Collar","Married","Secondary","No",5996,"No","No"
"104","No",57,"Blue Collar","Single","Primary","No",3777,"Yes","No"
"105","No",34,"White Collar","Single","Secondary","No",524,"No","No"
"107","No",37,"Blue Collar","Married","Secondary","No",427,"Yes","Yes"
"108","No",33,"White Collar","Married","Tertiary","No",483,"Yes","No"
"109","Yes",56,"Other/Unknown","Married","Primary","No",3391,"No","No"
"110","No",27,"Other/Unknown","Married","Primary","No",0,"Yes","No"
"112","No",58,"White Collar","Married","Tertiary","No",1517,"Yes","No"
"113","No",32,"White Collar","Married","Secondary","No",217,"Yes","Yes"
"115","Yes",25,"Other/Unknown","Single","Secondary","No",331,"No","No"
"116","Yes",25,"Blue Collar","Single","Secondary","No",505,"No","Yes"
"117","No",30,"Blue Collar","Married","Secondary","No",1808,"Yes","No"
"118","No",22,"White Collar","Single","Secondary","No",4111,"No","Yes"
"119","No",39,"Blue Collar","Married","Primary","No",52,"No","No"
"120","No",46,"White Collar","Divorced","Tertiary","No",25,"No","No"
"121","No",31,"White Collar","Divorced","Secondary","No",1890,"Yes","No"
"122","No",45,"Blue Collar","Married","Primary","No",419,"No","No"
"123","No",32,"Blue Collar","Married","Secondary","No",2693,"Yes","No"
"124","No",36,"Blue Collar","Married","Secondary","No",-231,"No","Yes"
"126","Yes",34,"White Collar","Single","Tertiary","No",462,"No","No"
"127","No",24,"Other/Unknown","Single","Secondary","No",119,"No","No"
"128","No",45,"Blue Collar","Single","Secondary","No",586,"No","Yes"
"130","Yes",77,"Other/Unknown","Divorced","Tertiary","No",4659,"No","No"
"131","No",41,"Blue Collar","Married","Primary","No",168,"Yes","No"
"132","No",37,"Blue Collar","Married","Primary","No",0,"Yes","No"
"133","No",43,"Blue Collar","Married","Unknown","Yes",-715,"Yes","No"
"135","No",27,"Blue Collar","Single","Secondary","No",769,"Yes","No"
"136","No",33,"White Collar","Single","Tertiary","No",0,"No","No"
"138","No",34,"White Collar","Single","Tertiary","No",0,"No","No"
"139","Yes",52,"White Collar","Married","Tertiary","No",-970,"Yes","No"
"140","No",60,"White Collar","Married","Unknown","No",6313,"No","No"
"141","No",32,"White Collar","Divorced","Tertiary","No",948,"No","No"
"142","No",32,"White Collar","Single","Tertiary","No",0,"Yes","No"
"143","No",56,"Blue Collar","Divorced","Unknown","No",1877,"Yes","No"
"144","No",31,"White Collar","Single","Tertiary","No",874,"Yes","No"
"145","No",42,"White Collar","Married","Secondary","No",323,"Yes","Yes"
"146","No",35,"White Collar","Married","Tertiary","No",106,"No","Yes"
"147","No",56,"Other/Unknown","Married","Primary","No",1906,"No","Yes"
"148","No",48,"Blue Collar","Married","Secondary","No",1152,"Yes","No"
"150","No",37,"Blue Collar","Single","Unknown","No",391,"Yes","No"
"151","No",41,"White Collar","Married","Unknown","No",89,"Yes","No"
"152","No",36,"White Collar","Single","Tertiary","No",442,"Yes","Yes"
"153","No",45,"Other/Unknown","Divorced","Primary","Yes",-249,"Yes","Yes"
"154","No",55,"White Collar","Married","Secondary","No",8104,"No","No"
"155","No",39,"Blue Collar","Married","Secondary","No",501,"No","No"
"156","No",35,"Blue Collar","Divorced","Secondary","No",308,"No","No"
"159","No",27,"White Collar","Single","Secondary","No",50,"No","No"
"160","No",34,"Blue Collar","Married","Secondary","No",1641,"Yes","No"
"161","No",34,"Blue Collar","Married","Tertiary","No",20,"No","No"
"162","No",25,"White Collar","Single","Secondary","No",4590,"Yes","No"
"163","No",41,"White Collar","Single","Secondary","No",-256,"No","Yes"
"164","No",43,"Blue Collar","Married","Secondary","No",978,"Yes","Yes"
"166","No",31,"White Collar","Single","Secondary","No",2104,"Yes","No"
"167","No",78,"Other/Unknown","Married","Secondary","No",499,"No","No"
"168","No",45,"Blue Collar","Divorced","Secondary","No",1269,"Yes","No"
"169","No",48,"Blue Collar","Married","Tertiary","No",310,"No","No"
"170","No",32,"Blue Collar","Single","Secondary","No",1143,"Yes","Yes"
"171","No",42,"Blue Collar","Married","Secondary","No",2980,"No","No"
"172","No",37,"White Collar","Single","Tertiary","No",37,"No","No"
"174","No",32,"White Collar","Married","Secondary","No",1031,"Yes","No"
"175","No",42,"White Collar","Married","Tertiary","No",9009,"No","No"
"176","No",43,"White Collar","Married","Secondary","No",-465,"Yes","Yes"
"177","No",44,"White Collar","Married","Secondary","No",5181,"Yes","Yes"
"179","No",37,"Other/Unknown","Married","Unknown","No",1699,"No","No"
"181","No",28,"Blue Collar","Single","Tertiary","No",172,"Yes","Yes"
"182","No",32,"Blue Collar","Single","Secondary","No",0,"No","Yes"
"183","No",34,"White Collar","Single","Secondary","No",6979,"Yes","No"
"184","No",40,"White Collar","Divorced","Secondary","No",6,"No","No"
"185","No",34,"Blue Collar","Married","Secondary","No",-62,"Yes","No"
"186","No",34,"White Collar","Married","Tertiary","No",1972,"Yes","No"
"190","Yes",56,"Other/Unknown","Married","Secondary","No",-1206,"Yes","No"
"191","No",49,"Blue Collar","Married","Primary","No",0,"Yes","Yes"
"192","No",33,"White Collar","Married","Secondary","No",215,"Yes","No"
"193","No",30,"White Collar","Single","Tertiary","No",1372,"No","No"
"194","No",36,"Blue Collar","Married","Secondary","No",1981,"No","No"
"195","No",23,"Other/Unknown","Single","Secondary","No",9216,"No","No"
"196","No",57,"Other/Unknown","Divorced","Secondary","No",39,"Yes","No"
"197","No",27,"Blue Collar","Single","Secondary","No",5563,"Yes","No"
"198","No",38,"Blue Collar","Married","Secondary","No",1,"No","Yes"
"199","No",42,"Blue Collar","Married","Tertiary","No",782,"No","No"
"202","No",48,"Blue Collar","Married","Secondary","No",1526,"No","No"
"205","Yes",29,"Blue Collar","Single","Tertiary","No",455,"No","No"
"206","No",45,"Blue Collar","Single","Tertiary","No",0,"Yes","No"
"207","No",42,"Blue Collar","Married","Secondary","No",2030,"Yes","Yes"
"210","No",56,"Other/Unknown","Married","Secondary","No",1333,"No","No"
"211","No",36,"Blue Collar","Single","Secondary","No",9149,"Yes","No"
"212","No",25,"Blue Collar","Single","Secondary","No",-350,"Yes","No"
"214","No",57,"White Collar","Married","Secondary","No",11494,"No","No"
"215","No",31,"White Collar","Married","Tertiary","Yes",-253,"No","No"
"216","Yes",42,"White Collar","Married","Tertiary","No",372,"Yes","No"
"217","No",45,"Blue Collar","Married","Secondary","No",1410,"No","No"
"219","No",49,"Blue Collar","Married","Primary","No",305,"Yes","Yes"
"220","No",49,"Blue Collar","Married","Secondary","No",400,"No","No"
"221","No",53,"Other/Unknown","Married","Tertiary","No",-22,"Yes","No"
"222","No",37,"Blue Collar","Married","Secondary","No",4030,"Yes","No"
"223","No",49,"Blue Collar","Married","Primary","No",365,"No","No"
"224","No",41,"White Collar","Married","Primary","No",204,"No","No"
"225","No",54,"White Collar","Married","Primary","No",1691,"Yes","No"
"226","No",32,"Blue Collar","Single","Secondary","No",406,"Yes","No"
"227","No",33,"Blue Collar","Married","Secondary","No",-204,"No","No"
"229","No",36,"Blue Collar","Married","Primary","No",123,"Yes","No"
"231","No",52,"Other/Unknown","Married","Secondary","No",142,"No","No"
"232","No",40,"White Collar","Married","Tertiary","No",3571,"No","No"
"235","No",30,"Other/Unknown","Single","Secondary","No",3096,"No","No"
"236","No",48,"Blue Collar","Divorced","Secondary","Yes",20,"No","No"
"238","No",57,"Blue Collar","Married","Unknown","No",206,"Yes","No"
"239","No",57,"Other/Unknown","Married","Primary","No",7082,"No","No"
"240","No",51,"Other/Unknown","Married","Tertiary","No",1634,"Yes","No"
"241","No",34,"White Collar","Single","Secondary","No",1,"Yes","No"
"242","No",50,"White Collar","Married","Tertiary","No",4012,"No","No"
"243","No",44,"White Collar","Married","Tertiary","No",3762,"No","No"
"244","No",27,"White Collar","Married","Secondary","No",-247,"Yes","Yes"
"245","No",50,"Blue Collar","Married","Secondary","No",606,"Yes","No"
"247","No",42,"White Collar","Married","Secondary","No",-189,"Yes","No"
"248","No",32,"Other/Unknown","Single","Secondary","No",0,"No","No"
"249","No",42,"White Collar","Married","Tertiary","No",484,"Yes","No"
"251","No",31,"White Collar","Married","Tertiary","No",395,"Yes","No"
"252","No",32,"White Collar","Married","Tertiary","No",2349,"No","No"
"253","No",55,"Blue Collar","Divorced","Primary","No",410,"No","Yes"
"255","No",46,"Blue Collar","Married","Primary","No",222,"No","No"
"256","No",55,"Blue Collar","Married","Secondary","No",989,"Yes","Yes"
"257","No",34,"White Collar","Married","Tertiary","No",415,"No","Yes"
"258","No",28,"Other/Unknown","Single","Secondary","No",16,"No","No"
"259","No",42,"Blue Collar","Divorced","Tertiary","No",7190,"Yes","No"
"260","Yes",29,"Blue Collar","Single","Secondary","No",482,"No","Yes"
"261","No",54,"Other/Unknown","Married","Secondary","No",209,"Yes","Yes"
"262","No",32,"Blue Collar","Single","Secondary","No",0,"No","No"
"263","No",39,"Blue Collar","Single","Tertiary","No",5803,"No","No"
"264","No",53,"White Collar","Married","Tertiary","No",624,"No","Yes"
"266","No",40,"White Collar","Married","Secondary","No",1516,"Yes","Yes"
"267","No",29,"Other/Unknown","Single","Secondary","No",872,"Yes","No"
"268","No",33,"Blue Collar","Married","Tertiary","No",-988,"Yes","Yes"
"269","No",38,"White Collar","Single","Secondary","No",902,"Yes","No"
"270","No",56,"Blue Collar","Divorced","Secondary","No",1007,"No","No"
"272","Yes",24,"Blue Collar","Single","Secondary","No",174,"Yes","Yes"
"273","No",46,"White Collar","Married","Secondary","No",12186,"No","No"
"274","No",35,"White Collar","Married","Secondary","No",524,"Yes","No"
"275","No",35,"Blue Collar","Single","Tertiary","No",0,"Yes","No"
"276","No",34,"Blue Collar","Married","Secondary","No",4,"Yes","No"
"278","No",38,"Blue Collar","Single","Tertiary","No",0,"No","No"
"279","No",50,"Blue Collar","Married","Primary","No",5776,"No","No"
"280","No",51,"Blue Collar","Divorced","Primary","No",37,"Yes","No"
"281","No",59,"White Collar","Married","Tertiary","No",593,"No","No"
"282","No",32,"Blue Collar","Married","Secondary","No",1148,"Yes","No"
"283","No",37,"Blue Collar","Single","Secondary","No",3561,"Yes","No"
"284","No",42,"White Collar","Divorced","Secondary","No",63,"No","No"
"285","No",40,"Other/Unknown","Married","Secondary","No",260,"No","No"
"286","No",28,"Blue Collar","Single","Tertiary","No",2269,"Yes","No"
"287","No",47,"White Collar","Married","Secondary","No",1060,"Yes","No"
"288","No",27,"White Collar","Married","Secondary","No",-220,"Yes","No"
"289","No",41,"White Collar","Married","Tertiary","No",49,"Yes","No"
"291","Yes",50,"Blue Collar","Married","Primary","No",4108,"Yes","No"
"292","No",47,"Blue Collar","Married","Secondary","No",480,"Yes","No"
"293","No",53,"Blue Collar","Married","Secondary","No",4994,"No","No"
"294","No",53,"Blue Collar","Divorced","Secondary","No",0,"Yes","Yes"
"295","No",47,"White Collar","Married","Tertiary","No",3681,"No","No"
"296","Yes",49,"White Collar","Divorced","Unknown","Yes",-701,"Yes","No"
"297","No",29,"White Collar","Married","Tertiary","No",451,"No","No"
"298","Yes",45,"Blue Collar","Divorced","Primary","No",-311,"Yes","No"
"299","Yes",38,"White Collar","Married","Secondary","No",593,"Yes","Yes"
"300","Yes",32,"Blue Collar","Married","Secondary","No",759,"Yes","No"
"301","No",70,"Other/Unknown","Divorced","Primary","No",4531,"No","No"
"303","No",56,"Blue Collar","Married","Secondary","No",345,"Yes","No"
"304","No",35,"Blue Collar","Married","Secondary","No",1287,"Yes","No"
"305","No",56,"White Collar","Married","Unknown","No",353,"No","Yes"
"306","No",56,"Blue Collar","Married","Secondary","No",205,"No","Yes"
"307","Yes",49,"White Collar","Married","Secondary","No",687,"Yes","No"
"308","No",38,"Other/Unknown","Married","Primary","No",1147,"Yes","Yes"
"309","No",35,"White Collar","Married","Tertiary","No",4286,"Yes","No"
"310","No",38,"White Collar","Married","Tertiary","No",605,"No","No"
"312","No",55,"White Collar","Married","Unknown","No",559,"No","No"
"313","No",43,"Blue Collar","Single","Primary","No",2,"Yes","No"
"314","No",43,"White Collar","Married","Tertiary","No",2,"No","Yes"
"316","No",30,"Blue Collar","Married","Primary","No",1317,"Yes","No"
"317","No",46,"Blue Collar","Married","Secondary","No",182,"No","No"
"318","No",50,"White Collar","Married","Primary","No",276,"No","Yes"
"320","No",26,"Other/Unknown","Single","Secondary","No",1064,"No","No"
"321","No",45,"White Collar","Married","Unknown","No",1783,"No","No"
"322","No",37,"Blue Collar","Married","Secondary","No",-67,"No","No"
"323","No",60,"White Collar","Single","Tertiary","No",179,"No","Yes"
"325","No",47,"Blue Collar","Married","Primary","No",214,"Yes","Yes"
"327","No",51,"Other/Unknown","Married","Secondary","No",1760,"No","Yes"
"328","Yes",35,"White Collar","Single","Tertiary","No",145,"Yes","No"
"330","No",48,"White Collar","Single","Secondary","No",1150,"Yes","No"
"331","No",37,"White Collar","Married","Secondary","No",121,"No","No"
"333","No",34,"White Collar","Married","Secondary","No",244,"Yes","No"
"334","Yes",32,"Blue Collar","Married","Primary","No",228,"Yes","No"
"335","Yes",30,"White Collar","Single","Tertiary","No",424,"No","No"
"336","No",47,"White Collar","Divorced","Tertiary","No",447,"No","Yes"
"337","No",33,"Blue Collar","Married","Primary","No",-195,"No","No"
"340","No",51,"White Collar","Divorced","Primary","No",10924,"No","No"
"342","No",56,"Other/Unknown","Married","Tertiary","No",478,"No","No"
"343","No",60,"White Collar","Single","Tertiary","No",0,"No","Yes"
"344","No",41,"White Collar","Single","Tertiary","No",3950,"Yes","No"
"345","No",37,"White Collar","Single","Unknown","No",504,"Yes","No"
"347","No",57,"White Collar","Married","Tertiary","No",1602,"No","No"
"349","No",44,"White Collar","Married","Secondary","No",0,"Yes","Yes"
"351","No",31,"Blue Collar","Married","Secondary","No",1660,"Yes","No"
"352","No",35,"White Collar","Married","Tertiary","Yes",32,"Yes","No"
"353","No",39,"White Collar","Married","Tertiary","No",278,"No","Yes"
"356","No",30,"Blue Collar","Single","Secondary","No",209,"Yes","No"
"357","No",46,"Blue Collar","Married","Secondary","No",271,"Yes","No"
"358","No",27,"White Collar","Single","Unknown","No",3196,"No","No"
"359","Yes",48,"White Collar","Divorced","Secondary","No",4099,"No","No"
"360","No",26,"Other/Unknown","Single","Secondary","No",2572,"Yes","No"
"361","No",36,"White Collar","Single","Tertiary","No",339,"No","No"
"362","No",42,"Blue Collar","Married","Primary","No",0,"Yes","Yes"
"363","No",50,"Other/Unknown","Married","Primary","No",395,"Yes","No"
"364","No",49,"Blue Collar","Married","Secondary","No",2039,"Yes","No"
"365","No",45,"White Collar","Married","Tertiary","No",5450,"No","No"
"366","No",23,"Other/Unknown","Single","Secondary","No",780,"No","No"
"367","No",38,"Blue Collar","Single","Secondary","No",0,"Yes","No"
"369","Yes",60,"Blue Collar","Single","Primary","No",11262,"No","No"
"371","No",58,"Other/Unknown","Married","Tertiary","No",497,"No","No"
"372","No",60,"Other/Unknown","Married","Primary","No",55,"No","No"
"373","No",38,"Blue Collar","Married","Secondary","No",-140,"No","No"
"374","No",51,"Blue Collar","Married","Secondary","No",-379,"Yes","No"
"377","No",40,"White Collar","Married","Primary","No",733,"Yes","No"
"379","No",53,"Blue Collar","Divorced","Primary","No",7290,"Yes","No"
"380","No",27,"Blue Collar","Single","Secondary","No",468,"Yes","No"
"382","No",39,"Blue Collar","Married","Primary","No",3705,"Yes","No"
"383","Yes",59,"Other/Unknown","Married","Tertiary","No",9676,"No","No"
"385","No",41,"Blue Collar","Married","Primary","No",8,"Yes","No"
"386","No",45,"Blue Collar","Married","Primary","No",61,"No","No"
"387","No",48,"White Collar","Married","Tertiary","No",6613,"No","No"
"388","No",48,"Blue Collar","Married","Secondary","No",302,"Yes","No"
"389","No",32,"Blue Collar","Married","Secondary","No",1005,"No","No"
"390","No",35,"Blue Collar","Married","Secondary","No",109,"Yes","No"
"392","No",28,"Blue Collar","Single","Primary","No",0,"Yes","Yes"
"393","No",64,"Other/Unknown","Married","Unknown","No",2923,"No","No"
"394","No",35,"Blue Collar","Married","Secondary","No",0,"No","No"
"396","No",41,"Blue Collar","Married","Secondary","No",288,"Yes","No"
"397","No",34,"White Collar","Married","Secondary","No",613,"Yes","No"
"399","No",38,"Blue Collar","Married","Primary","No",168,"Yes","Yes"
"400","No",39,"Blue Collar","Married","Primary","No",7685,"Yes","No"
"401","No",35,"Blue Collar","Divorced","Tertiary","No",4515,"Yes","No"
"402","Yes",28,"Blue Collar","Single","Secondary","No",517,"No","Yes"
"403","No",27,"Blue Collar","Single","Secondary","No",148,"No","No"
"404","No",48,"Other/Unknown","Married","Primary","Yes",-285,"No","Yes"
"405","No",50,"Blue Collar","Married","Secondary","No",887,"No","No"
"406","No",45,"White Collar","Married","Secondary","No",3098,"Yes","No"
"407","No",41,"Blue Collar","Married","Tertiary","No",744,"Yes","No"
"408","No",39,"Blue Collar","Married","Secondary","No",130,"No","No"
"411","No",49,"White Collar","Married","Tertiary","No",322,"No","No"
"412","No",34,"Blue Collar","Single","Secondary","No",186,"No","No"
"414","No",42,"White Collar","Married","Tertiary","No",0,"No","No"
"415","No",53,"Blue Collar","Married","Secondary","No",4380,"No","No"
"416","Yes",49,"White Collar","Divorced","Tertiary","No",755,"No","No"
"417","No",31,"Blue Collar","Single","Secondary","No",2070,"No","No"
"418","No",45,"Blue Collar","Single","Primary","No",999,"No","No"
"419","No",39,"White Collar","Married","Secondary","No",167,"Yes","Yes"
"420","No",46,"Blue Collar","Married","Secondary","No",1322,"Yes","Yes"
"421","No",42,"White Collar","Divorced","Secondary","No",1076,"Yes","No"
"423","No",26,"Blue Collar","Single","Tertiary","No",1216,"Yes","No"
"425","No",36,"Blue Collar","Single","Secondary","No",342,"Yes","No"
"426","No",29,"Blue Collar","Single","Primary","No",950,"Yes","No"
"427","No",36,"Blue Collar","Married","Primary","No",973,"Yes","Yes"
"428","No",26,"Blue Collar","Married","Tertiary","No",3825,"Yes","No"
"429","No",32,"Blue Collar","Married","Secondary","No",2366,"Yes","No"
"430","No",40,"White Collar","Married","Tertiary","No",542,"Yes","No"
"431","No",53,"White Collar","Married","Primary","No",995,"No","No"
"432","No",29,"White Collar","Married","Tertiary","No",20,"Yes","No"
"433","No",34,"Blue Collar","Single","Tertiary","No",228,"Yes","No"
"435","No",56,"White Collar","Married","Tertiary","No",217,"No","Yes"
"436","No",55,"White Collar","Divorced","Tertiary","No",0,"No","No"
"437","No",31,"White Collar","Married","Tertiary","No",259,"Yes","No"
"439","No",36,"White Collar","Married","Secondary","No",644,"Yes","No"
"440","No",44,"White Collar","Married","Tertiary","No",22,"Yes","No"
"441","No",37,"White Collar","Divorced","Tertiary","No",4303,"Yes","No"
"442","No",30,"White Collar","Single","Secondary","No",239,"Yes","No"
"443","No",42,"Blue Collar","Single","Secondary","No",275,"No","No"
"444","Yes",30,"White Collar","Married","Tertiary","No",1221,"Yes","No"
"445","No",62,"Other/Unknown","Married","Secondary","No",816,"No","No"
"446","No",24,"Blue Collar","Married","Secondary","No",1222,"Yes","No"
"447","No",31,"Blue Collar","Married","Secondary","No",2363,"Yes","No"
"448","No",66,"Other/Unknown","Married","Tertiary","No",2262,"No","No"
"449","No",47,"White Collar","Married","Secondary","No",2,"No","No"
"450","No",39,"White Collar","Married","Tertiary","No",2,"Yes","No"
"451","Yes",35,"Blue Collar","Married","Secondary","No",4508,"Yes","No"
"452","No",35,"White Collar","Divorced","Secondary","No",-402,"Yes","No"
"453","No",27,"Blue Collar","Married","Secondary","No",1577,"Yes","Yes"
"454","No",32,"Blue Collar","Married","Secondary","No",34,"Yes","No"
"455","No",44,"White Collar","Married","Tertiary","No",795,"No","No"
"456","No",42,"Blue Collar","Married","Secondary","No",117,"Yes","No"
"457","Yes",34,"White Collar","Single","Tertiary","No",5462,"No","No"
"458","No",25,"Blue Collar","Single","Secondary","No",402,"No","Yes"
"459","No",40,"Blue Collar","Single","Secondary","No",641,"No","No"
"461","No",55,"Other/Unknown","Married","Tertiary","No",383,"No","No"
"462","No",50,"Blue Collar","Married","Secondary","No",283,"Yes","No"
"463","No",45,"White Collar","Divorced","Tertiary","No",0,"No","No"
"464","No",35,"Blue Collar","Divorced","Secondary","No",3102,"Yes","No"
"467","No",34,"White Collar","Married","Secondary","No",-370,"Yes","No"
"468","No",39,"White Collar","Married","Tertiary","No",-606,"Yes","No"
"469","No",40,"White Collar","Single","Secondary","No",10378,"Yes","No"
"470","No",36,"Blue Collar","Single","Primary","No",1313,"Yes","No"
"471","No",40,"White Collar","Married","Tertiary","No",8969,"Yes","No"
"472","No",55,"White Collar","Married","Secondary","No",-196,"Yes","No"
"473","No",38,"White Collar","Married","Secondary","Yes",15,"Yes","No"
"474","Yes",61,"White Collar","Married","Secondary","No",4608,"No","No"
"475","No",41,"White Collar","Married","Tertiary","No",666,"Yes","No"
"476","No",57,"Blue Collar","Married","Primary","No",452,"Yes","No"
"477","No",48,"Blue Collar","Married","Secondary","No",149,"Yes","No"
"479","No",35,"Blue Collar","Married","Secondary","No",1453,"Yes","No"
"480","No",54,"Blue Collar","Married","Secondary","No",1480,"Yes","No"
"481","No",37,"White Collar","Single","Unknown","No",715,"Yes","No"
"482","No",56,"White Collar","Single","Secondary","No",237,"Yes","No"
"484","No",40,"White Collar","Married","Tertiary","No",0,"No","No"
"485","No",54,"White Collar","Married","Tertiary","No",55,"Yes","No"
"486","No",55,"Other/Unknown","Married","Primary","No",136,"Yes","No"
"487","No",55,"Blue Collar","Divorced","Secondary","Yes",-404,"Yes","No"
"488","No",52,"Blue Collar","Married","Primary","No",779,"Yes","No"
"489","No",55,"Blue Collar","Single","Primary","No",1187,"Yes","No"
"490","No",33,"White Collar","Married","Tertiary","No",641,"Yes","No"
"491","No",52,"Blue Collar","Married","Unknown","No",826,"Yes","No"
"492","No",33,"Blue Collar","Divorced","Secondary","No",991,"Yes","No"
"494","Yes",46,"White Collar","Married","Secondary","No",22,"No","No"
"495","Yes",44,"Blue Collar","Single","Secondary","No",244,"Yes","No"
"496","No",48,"White Collar","Divorced","Tertiary","No",1328,"Yes","No"
"498","No",34,"Blue Collar","Single","Secondary","No",4943,"Yes","Yes"
"499","No",38,"Blue Collar","Single","Secondary","No",258,"No","Yes"
